Tu peux résister à la tentation de la végétation luxuriante	0.4	1.8	0.7	3	2.2	False	0.41	{'résister', 'végétation', 'tentation', 'luxuriante'}	['végétation', 'satisfait']	10	Tu peux résister à la tentation
De plus la banane est un fruit très tropical, riche en vitamines et	0.46	1.7	0.72	2	2.57	False	0.43	{'riche', 'est', 'fruit', 'vitamines', 'banane', 'tropical,'}	['électricité', 'tropical']	13	De plus la banane est un fruit très
De plus la banane est un fruit très tropical et riche en	0.42	1.8	0.7	2	2.57	False	0.4	{'riche', 'est', 'tropical', 'banane', 'fruit'}	['électricité', 'tropical']	12	De plus la banane est un fruit très
De plus la banane est un fruit très tropical et riche en	0.42	1.8	0.7	2	2.57	False	0.4	{'riche', 'est', 'tropical', 'banane', 'fruit'}	['électricité', 'tropical']	12	De plus la banane est un fruit très
Cette espèce de plante est très appréciée pour sa qualité	0.5	1.8	0.7	3	3.4	False	0.41	{'qualité', 'plante', 'espèce', 'est', 'appréciée'}	['entier', 'qualité']	10	Cette espèce de plante est très
Cette espèce de plante est très appréciée pour sa qualité	0.5	1.8	0.7	3	3.4	False	0.41	{'qualité', 'plante', 'espèce', 'est', 'appréciée'}	['entier', 'qualité']	10	Cette espèce de plante est très
Cette espèce de plante est très appréciée pour sa qualité	0.5	1.8	0.7	3	3.4	False	0.41	{'qualité', 'plante', 'espèce', 'est', 'appréciée'}	['entier', 'qualité']	10	Cette espèce de plante est très
Cette espèce de plante est très appréciée pour sa qualité	0.5	1.8	0.7	3	3.4	False	0.41	{'qualité', 'plante', 'espèce', 'est', 'appréciée'}	['entier', 'qualité']	10	Cette espèce de plante est très
Cette espèce de plante est très appréciée pour sa qualité artistique.	0.55	1.7	0.72	3	3.4	False	0.44	{'qualité', 'artistique.', 'plante', 'espèce', 'est', 'appréciée'}	['zoo', 'artistique']	11	Cette espèce de plante est très appréciée pour sa qualité
Cette espèce de plante est très appréciée pour sa qualité artistique.	0.55	1.7	0.72	3	3.4	False	0.44	{'qualité', 'artistique.', 'plante', 'espèce', 'est', 'appréciée'}	['zoo', 'artistique']	11	Cette espèce de plante est très appréciée pour sa qualité
Cette espèce de plante est très appréciée pour sa qualité artistique.	0.55	1.7	0.72	3	3.4	False	0.44	{'qualité', 'artistique.', 'plante', 'espèce', 'est', 'appréciée'}	['zoo', 'artistique']	11	Cette espèce de plante est très appréciée pour sa qualité
Cette espèce de plante est très appréciée pour sa qualité artistique.	0.55	1.7	0.72	3	3.4	False	0.44	{'qualité', 'artistique.', 'plante', 'espèce', 'est', 'appréciée'}	['zoo', 'artistique']	11	Cette espèce de plante est très appréciée pour sa qualité
Cette espèce de plante est très appréciée pour sa qualité artistique. Elle possède une beauté unique	0.56	1.6	0.73	3	3.43	False	0.46	{'artistique.', 'est', 'appréciée', 'qualité', 'plante', 'espèce', 'unique', 'possède', 'beauté'}	['steak', 'unique']	16	Cette espèce de plante est très appréciée pour sa qualité artistique.
Cette espèce de plante est très appréciée pour sa qualité artistique. Elle possède une beauté unique	0.56	1.6	0.73	3	3.43	False	0.46	{'artistique.', 'est', 'appréciée', 'qualité', 'plante', 'espèce', 'unique', 'possède', 'beauté'}	['steak', 'unique']	16	Cette espèce de plante est très appréciée pour sa qualité artistique.
Cette espèce de plante est très appréciée pour sa qualité artistique. Son feuillage unique ajoute une touche	0.47	1.9	0.68	3	4.22	False	0.35	{'artistique.', 'est', 'touche', 'appréciée', 'qualité', 'plante', 'espèce', 'unique'}	['steak', 'unique']	17	Cette espèce de plante est très appréciée pour sa qualité artistique.
Cette espèce de plante est très appréciée pour sa qualité artistique. Elle possède une beauté unique qui attire les	0.47	1.9	0.68	4	3.6	False	0.38	{'artistique.', 'est', 'appréciée', 'qualité', 'plante', 'espèce', 'unique', 'possède', 'beauté'}	['qualité', 'kiosque']	19	Cette espèce de plante est très appréciée pour sa qualité artistique. Elle possède une beauté unique
Cette espèce de plante est très appréciée pour sa qualité artistique. Son feuillage tropical apporte une touche d'exotisme à notre village	0.48	1.9	0.68	3	4.09	False	0.36	{'village', 'artistique.', 'est', 'touche', "d'exotisme", 'appréciée', 'qualité', 'plante', 'espèce', 'tropical'}	['village', 'tempête']	21	Cette espèce de plante est très appréciée pour sa qualité artistique. Son feuillage tropical apporte une touche
Par certains aspects de la région tropicale se caractérisent par la présence	0.42	1.8	0.7	3	3.33	False	0.36	{'aspects', 'région', 'caractérisent', 'présence', 'tropicale'}	['volcan', 'tropical']	12	Par certains aspects de la région tropicale
Par certains aspects de la région tropicale se caractérise par sa diversité de symboles	0.43	1.9	0.68	3	3.14	False	0.37	{'région', 'diversité', 'aspects', 'symboles', 'caractérise', 'tropicale'}	['symbole', 'festival']	14	Par certains aspects de la région tropicale se caractérise par sa diversité de
Par certains aspects de la région tropicale se caractérise par sa diversité de symboles culturels et de ses festivals	0.42	2.0	0.67	4	3.0	False	0.37	{'aspects', 'culturels', 'région', 'caractérise', 'tropicale', 'diversité', 'festivals', 'symboles'}	['symbole', 'festival']	19	Par certains aspects de la région tropicale se caractérise par sa diversité de
Par certains aspects de la région tropicale se distinguent par la présence de l'architecture	0.43	1.9	0.68	3	3.33	False	0.36	{'présence', 'aspects', 'région', 'distinguent', "l'architecture", 'tropicale'}	['illusion', 'architecture']	14	Par certains aspects de la région tropicale se distinguent par la présence de
En 1824 le théâtre de la région a été composée de pièces classiques et	0.38	2.0	0.67	3	2.0	False	0.4	{'théâtre', 'composée', 'classiques', 'région', 'pièces'}	['repas,', 'composée']	14	En 1824 le théâtre de la région a été
En 1824 le théâtre de la région a été composée de pièces classiques et contemporaines, reflétant ainsi la	0.41	2.0	0.67	3	2.38	False	0.39	{'théâtre', 'composée', 'reflétant', 'classiques', 'région', 'contemporaines,', 'pièces'}	['région', 'architecture']	18	En 1824 le théâtre de la région a été composée de pièces classiques et
En 1824 le théâtre de la région a été composée de pièces classiques et a été décoré dans un style	0.37	2.2	0.63	4	2.22	False	0.36	{'théâtre', 'composée', 'classiques', 'région', 'décoré', 'pièces', 'style'}	['région', 'architecture']	20	En 1824 le théâtre de la région a été composée de pièces classiques et
En 1824 le théâtre s'est enrichi d'un nouveau décor abondante, caractérisé par	0.42	1.7	0.72	3	3.83	False	0.35	{'caractérisé', 'théâtre', 'enrichi', 'décor', 'abondante,'}	['abondante', 'caractérisé']	14	En 1824 En 1824, le théâtre s'est enrichi d'un nouveau décor
En 1824 le théâtre s'est enrichi d'un nouveau décor abondante, caractérisé par	0.42	1.7	0.72	3	3.83	False	0.35	{'caractérisé', 'théâtre', 'enrichi', 'décor', 'abondante,'}	['abondante', 'caractérisé']	14	En 1824 En 1824, le théâtre s'est enrichi d'un nouveau décor
En 1824 le théâtre de la région a été composée de pièces classiques et contemporaines, reflétant ainsi la richesse de l'architecture locale et	0.45	1.9	0.68	3	2.38	False	0.43	{'théâtre', 'composée', 'région', 'locale', 'pièces', 'richesse', 'reflétant', 'classiques', 'contemporaines,', "l'architecture"}	['architecture', 'naturel']	23	En 1824 le théâtre de la région a été composée de pièces classiques et contemporaines, reflétant ainsi la
En 1824 le théâtre de la région a été composée de pièces classiques et contemporaines, reflétant ainsi la richesse de l'architecture	0.45	1.9	0.68	3	2.38	False	0.42	{'théâtre', 'composée', 'région', 'pièces', 'richesse', 'reflétant', 'classiques', 'contemporaines,', "l'architecture"}	['architecture', 'naturel']	21	En 1824 le théâtre de la région a été composée de pièces classiques et contemporaines, reflétant ainsi la
En 1824 le théâtre de la région a été composée de pièces classiques et contemporaines, reflétant ainsi la richesse de l'architecture locale et la	0.43	2.0	0.67	3	2.38	False	0.41	{'théâtre', 'composée', 'région', 'locale', 'pièces', 'richesse', 'reflétant', 'classiques', 'contemporaines,', "l'architecture"}	['architecture', 'naturel']	24	En 1824 le théâtre de la région a été composée de pièces classiques et contemporaines, reflétant ainsi la
En 1824 le théâtre de la région a été composée de pièces classiques et a été décoré dans un style différent. L'hôpital	0.43	2.1	0.65	4	2.22	False	0.41	{'théâtre', 'différent.', 'composée', 'région', 'décoré', 'pièces', "L'hôpital", 'classiques', 'style'}	['hôpital', 'différente,']	22	En 1824 le théâtre de la région a été composée de pièces classiques et a été décoré dans un style
Son festival de chocolat préféré est celui qui propose une sélection abondante	0.58	1.6	0.73	3	3.2	False	0.48	{'est', 'préféré', 'sélection', 'festival', 'abondante', 'chocolat', 'propose'}	['abondante', 'satisfait']	12	Son festival de chocolat préféré est
Son festival de chocolat préféré est celui qui propose une sélection abondante	0.58	1.6	0.73	3	3.2	False	0.48	{'est', 'préféré', 'sélection', 'festival', 'abondante', 'chocolat', 'propose'}	['abondante', 'satisfait']	12	Son festival de chocolat préféré est
Son festival de chocolat préféré est celui qui propose une sélection abondante	0.58	1.6	0.73	3	3.2	False	0.48	{'est', 'préféré', 'sélection', 'festival', 'abondante', 'chocolat', 'propose'}	['abondante', 'satisfait']	12	Son festival de chocolat préféré est
Son festival de chocolat préféré est sur une île	0.44	2.0	0.67	4	2.8	False	0.39	{'est', 'festival', 'chocolat', 'préféré'}	['île', 'week-end']	9	Son festival de chocolat préféré est
Son festival de chocolat préféré est celui qui propose une sélection abondante de douceurs divines venant du	0.47	2.0	0.67	3	4.0	False	0.35	{'est', 'préféré', 'sélection', 'divines', 'chocolat', 'propose', 'abondante', 'festival'}	['divine', 'illusion']	17	Son festival de chocolat préféré est celui qui propose une sélection abondante
La beauté divine de la nature est une source de joie incommensurable	0.5	1.8	0.7	3	2.6	False	0.45	{'est', 'source', 'divine', 'incommensurable', 'beauté', 'nature'}	['joie', 'hôpital']	12	La beauté divine de la nature est
La beauté divine de la nature est une source de joie	0.45	2.0	0.67	3	2.6	False	0.41	{'est', 'source', 'divine', 'beauté', 'nature'}	['joie', 'hôpital']	11	La beauté divine de la nature est
La beauté divine de la nature est une source de joie infinie pour	0.46	2.0	0.67	3	2.83	False	0.4	{'infinie', 'est', 'source', 'divine', 'beauté', 'nature'}	['joie', 'hôpital']	13	La beauté divine de la nature est
La beauté divine de la nature est une source de joie infinie pour	0.46	2.0	0.67	3	2.83	False	0.4	{'infinie', 'est', 'source', 'divine', 'beauté', 'nature'}	['joie', 'hôpital']	13	La beauté divine de la nature est
La beauté divine de la nature est une source de joie incommensurable , félicitations pour cette observation si	0.47	2.0	0.67	3	3.0	False	0.4	{'est', 'source', 'observation', 'incommensurable', 'nature', 'félicitations', 'beauté', 'divine'}	['félicitations', 'repas,']	18	La beauté divine de la nature est une source de joie incommensurable
La beauté divine de la nature est une source de joie incommensurable félicitations pour votre mariage dans ce	0.44	2.1	0.65	3	3.11	False	0.37	{'est', 'source', 'mariage', 'incommensurable', 'nature', 'félicitations', 'beauté', 'divine'}	['félicitations', 'repas,']	18	La beauté divine de la nature est une source de joie incommensurable
La beauté divine de la nature est une source de joie incommensurable félicitations pour votre mariage dans ce lieu enchanteur. Les frites	0.5	1.8	0.7	3	3.1	False	0.42	{'est', 'source', 'mariage', 'incommensurable', 'enchanteur.', 'nature', 'lieu', 'félicitations', 'frites', 'divine', 'beauté'}	['résister', 'frites']	22	La beauté divine de la nature est une source de joie incommensurable félicitations pour votre mariage dans ce
La beauté divine de la nature est une source de joie incommensurable félicitations pour votre mariage dans ce lieu magique. Les frites	0.45	2.0	0.67	3	3.55	False	0.36	{'est', 'source', 'mariage', 'incommensurable', 'nature', 'lieu', 'félicitations', 'frites', 'divine', 'beauté'}	['résister', 'frites']	22	La beauté divine de la nature est une source de joie incommensurable félicitations pour votre mariage dans ce
La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de monuments	0.47	2.0	0.67	4	4.0	False	0.35	{'est', 'source', 'observation', 'incommensurable', 'monuments', 'nature', 'félicitations', 'divine', 'beauté'}	['monuments', 'banane']	19	La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de
La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de monuments célèbres dans cet environnement	0.48	2.0	0.67	4	3.9	False	0.36	{'célèbres', 'est', 'source', 'observation', 'incommensurable', 'monuments', 'nature', 'félicitations', 'environnement', 'beauté', 'divine'}	['célèbre', 'tropical']	23	La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de monuments
La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de ces monuments uniques.	0.48	2.0	0.67	4	3.89	False	0.36	{'est', 'source', 'observation', 'incommensurable', 'monuments', 'nature', 'félicitations', 'beauté', 'uniques.', 'divine'}	['satisfait', 'unique']	21	La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de ces monuments
La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de ces monuments uniques. Je suis satisfait de partager	0.46	2.0	0.67	4	3.73	False	0.35	{'est', 'source', 'partager', 'observation', 'incommensurable', 'satisfait', 'monuments', 'nature', 'félicitations', 'beauté', 'uniques.', 'divine'}	['satisfait', 'unique']	26	La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de ces monuments
La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de monuments célèbres dans cet environnement composée.	0.5	1.9	0.68	4	3.9	False	0.37	{'célèbres', 'est', 'source', 'observation', 'incommensurable', 'monuments', 'nature', 'félicitations', 'environnement', 'divine', 'beauté', 'composée.'}	['composée', 'village']	24	La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de monuments célèbres dans cet environnement
La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de monuments célèbres dans cet environnement composée de rivières	0.5	1.9	0.68	4	3.9	False	0.37	{'célèbres', 'est', 'composée', 'source', 'observation', 'incommensurable', 'monuments', 'nature', 'félicitations', 'environnement', 'divine', 'beauté', 'rivières'}	['composée', 'village']	26	La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de monuments célèbres dans cet environnement
La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de monuments célèbres dans cet environnement composée de verdure	0.5	1.9	0.68	4	3.9	False	0.37	{'célèbres', 'est', 'composée', 'source', 'observation', 'incommensurable', 'verdure', 'monuments', 'nature', 'félicitations', 'environnement', 'divine', 'beauté'}	['composée', 'village']	26	La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de monuments célèbres dans cet environnement
La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de ces monuments uniques. Les précipitations abondantes ont	0.48	1.9	0.68	4	3.73	False	0.37	{'est', 'précipitations', 'source', 'observation', 'incommensurable', 'abondantes', 'monuments', 'nature', 'félicitations', 'divine', 'uniques.', 'beauté'}	['banane', 'précipitations']	25	La beauté divine de la nature est une source de joie incommensurable félicitations pour cette magnifique observation de ces monuments uniques.
Quatre saisons ont construite leur beauté noble et élégante, mais	0.6	1.8	0.7	2	3.25	False	0.48	{'élégante,', 'saisons', 'construite', 'Quatre', 'beauté', 'noble'}	['noble', 'dessert']	10	Quatre saisons ont construite leur
Quatre saisons ont construite leur beauté noble dans la	0.56	2.0	0.67	3	3.25	False	0.44	{'saisons', 'construite', 'Quatre', 'beauté', 'noble'}	['noble', 'dessert']	9	Quatre saisons ont construite leur
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où	0.56	1.9	0.68	3	2.71	False	0.47	{'élégante,', 'théâtre', 'saisons', 'construite', 'lieu', 'Quatre', 'reste', 'beauté', 'noble'}	['qualité', 'théâtre']	16	Quatre saisons ont construite leur beauté noble et élégante, mais
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre de la nature reste	0.56	1.9	0.68	3	2.71	False	0.47	{'élégante,', 'théâtre', 'saisons', 'construite', 'nature', 'Quatre', 'reste', 'beauté', 'noble'}	['qualité', 'théâtre']	16	Quatre saisons ont construite leur beauté noble et élégante, mais
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre est un moyen unique de	0.53	2.0	0.67	3	3.0	False	0.43	{'élégante,', 'théâtre', 'est', 'saisons', 'construite', 'unique', 'Quatre', 'beauté', 'noble'}	['qualité', 'théâtre']	17	Quatre saisons ont construite leur beauté noble et élégante, mais
Quatre saisons ont construite leur beauté noble et élégante, mais seule la qualité des acteurs sur	0.5	2.1	0.65	4	3.25	False	0.4	{'élégante,', 'acteurs', 'saisons', 'construite', 'qualité', 'Quatre', 'beauté', 'noble'}	['qualité', 'théâtre']	16	Quatre saisons ont construite leur beauté noble et élégante, mais
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre de la nature reste imprenable. Les montagnes	0.58	1.7	0.72	3	2.75	False	0.49	{'élégante,', 'montagnes', 'théâtre', 'saisons', 'construite', 'nature', 'beauté', 'Quatre', 'reste', 'imprenable.', 'noble'}	['symbole', 'imprenable']	19	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre de la nature reste
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre de la nature reste imprenable. Les montagnes	0.58	1.7	0.72	3	2.75	False	0.49	{'élégante,', 'montagnes', 'théâtre', 'saisons', 'construite', 'nature', 'beauté', 'Quatre', 'reste', 'imprenable.', 'noble'}	['symbole', 'imprenable']	19	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre de la nature reste
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable.	0.6	1.7	0.72	3	3.38	False	0.48	{'élégante,', 'théâtre', 'est', 'saisons', 'construite', 'palpable.', "l'émotion", 'lieu', 'Quatre', 'reste', 'beauté', 'noble'}	['construite', 'repas,']	20	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre de la nature reste imprenable pour	0.56	1.9	0.68	3	2.88	False	0.47	{'élégante,', 'théâtre', 'saisons', 'construite', 'imprenable', 'nature', 'Quatre', 'reste', 'beauté', 'noble'}	['symbole', 'imprenable']	18	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre de la nature reste
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable. Le vin délicieux coule à	0.56	1.8	0.7	3	3.18	False	0.46	{'élégante,', 'théâtre', 'est', 'saisons', 'construite', 'palpable.', 'délicieux', "l'émotion", 'vin', 'lieu', 'Quatre', 'reste', 'beauté', 'noble'}	['vin', 'noble']	25	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable.
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable. Le vin qu'on partage avant la	0.54	1.8	0.7	3	3.42	False	0.43	{'élégante,', 'théâtre', 'est', 'saisons', 'construite', 'palpable.', "l'émotion", 'vin', 'lieu', 'beauté', 'partage', 'reste', 'Quatre', 'noble'}	['vin', 'noble']	26	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable.
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable. Le théâtre, tel un bon	0.52	1.9	0.68	4	3.18	False	0.43	{'élégante,', 'théâtre', 'théâtre,', 'est', 'saisons', 'construite', 'palpable.', "l'émotion", 'lieu', 'Quatre', 'reste', 'beauté', 'noble'}	['vin', 'noble']	25	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable.
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable. Les acteurs y déploient leur talent	0.54	1.8	0.7	4	3.64	False	0.42	{'élégante,', 'acteurs', 'théâtre', 'est', 'saisons', 'construite', 'palpable.', 'talent', "l'émotion", 'lieu', 'Quatre', 'reste', 'beauté', 'noble'}	['vin', 'noble']	26	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable.
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable. Le théâtre, tel un bon repas, est caractérisé par	0.52	1.8	0.7	4	3.17	False	0.43	{'élégante,', 'repas,', 'saisons', 'palpable.', 'caractérisé', "l'émotion", 'lieu', 'Quatre', 'reste', 'noble', 'théâtre', 'est', 'théâtre,', 'construite', 'beauté'}	['panoramique', 'caractérisé']	29	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable. Le théâtre, tel un bon
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable. Le vin délicieux coule à flot, les rires	0.54	1.9	0.68	3	3.31	False	0.42	{'élégante,', 'théâtre', 'est', 'saisons', 'flot,', 'construite', 'palpable.', 'délicieux', "l'émotion", 'vin', 'lieu', 'Quatre', 'reste', 'beauté', 'noble'}	['beauté', 'tiramisu']	28	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable. Le vin délicieux coule à
Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable. Le vin délicieux coule à flot, les conversations fusent et le	0.52	1.9	0.68	4	3.38	False	0.41	{'élégante,', 'saisons', 'flot,', 'conversations', 'palpable.', 'délicieux', "l'émotion", 'lieu', 'Quatre', 'reste', 'noble', 'théâtre', 'est', 'construite', 'vin', 'beauté'}	['beauté', 'tiramisu']	31	Quatre saisons ont construite leur beauté noble et élégante, mais le théâtre reste un lieu où l'émotion est toujours palpable. Le vin délicieux coule à
En 1904 la présence d'un zèbre au décor du cirque a	0.4	1.8	0.7	2	2.17	False	0.41	{'décor', 'présence', 'zèbre', 'cirque'}	['entier', 'décor']	11	En 1904 la présence d'un zèbre au
En 1904 la présence d'un zèbre au décor du cirque a	0.4	1.8	0.7	2	2.17	False	0.41	{'décor', 'présence', 'zèbre', 'cirque'}	['entier', 'décor']	11	En 1904 la présence d'un zèbre au
En 1904 la présence d'un zèbre au décor du cirque a	0.4	1.8	0.7	2	2.17	False	0.41	{'décor', 'présence', 'zèbre', 'cirque'}	['entier', 'décor']	11	En 1904 la présence d'un zèbre au
En 1904 la présence d'un zèbre au décor du cirque a	0.4	1.8	0.7	2	2.17	False	0.41	{'décor', 'présence', 'zèbre', 'cirque'}	['entier', 'décor']	11	En 1904 la présence d'un zèbre au
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de réalité	0.4	2.0	0.67	4	2.67	False	0.38	{'décor', 'réalité', 'touche', 'présence', 'zèbre', 'cirque'}	['délicieux', 'réalité']	16	En 1904 la présence d'un zèbre au décor du cirque a
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de réalité	0.4	2.0	0.67	4	2.67	False	0.38	{'décor', 'réalité', 'touche', 'présence', 'zèbre', 'cirque'}	['délicieux', 'réalité']	16	En 1904 la présence d'un zèbre au décor du cirque a
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité	0.4	2.0	0.67	4	2.67	False	0.38	{'qualité', 'décor', 'touche', 'présence', 'zèbre', 'cirque'}	['qualité', 'supermarché']	16	En 1904 la présence d'un zèbre au décor du cirque a
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité au	0.38	2.1	0.65	4	2.67	False	0.35	{'qualité', 'décor', 'touche', 'présence', 'zèbre', 'cirque'}	['qualité', 'supermarché']	17	En 1904 la présence d'un zèbre au décor du cirque a
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité et d'illusion à la	0.37	2.2	0.63	4	2.45	False	0.35	{'qualité', "d'illusion", 'décor', 'touche', 'présence', 'zèbre', 'cirque'}	['joie', 'illusion']	20	En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité au spectacle, créant l'illusion	0.42	2.0	0.67	4	3.4	False	0.35	{"l'illusion", 'touche', 'zèbre', 'cirque', 'qualité', 'créant', 'décor', 'présence'}	['illusion', 'imprenable']	20	En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité au
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité au spectacle, créant l'illusion	0.42	2.0	0.67	4	3.4	False	0.35	{"l'illusion", 'touche', 'zèbre', 'cirque', 'qualité', 'créant', 'décor', 'présence'}	['illusion', 'imprenable']	20	En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité au
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité et d'illusion à la représentation. L'électricité	0.43	2.1	0.65	4	2.45	False	0.4	{"L'électricité", 'représentation.', 'touche', 'zèbre', 'cirque', 'qualité', "d'illusion", 'décor', 'présence'}	['électricité', 'abondante']	22	En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité et d'illusion à la
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité et d'illusion à la représentation. L'électricité	0.43	2.1	0.65	4	2.45	False	0.4	{"L'électricité", 'représentation.', 'touche', 'zèbre', 'cirque', 'qualité', "d'illusion", 'décor', 'présence'}	['électricité', 'abondante']	22	En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité et d'illusion à la
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de réalité au théâtre.  Cela a donné une expérience unique aux spectateurs	0.4	2.1	0.65	4	3.0	False	0.35	{'décor', 'spectateurs', 'expérience', 'touche', 'zèbre', 'cirque', 'unique', 'réalité', 'théâtre.', 'présence'}	['restaurant', 'expérience']	27	En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de réalité au théâtre.  Cela a
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité et d'illusion à la représentation. L'électricité abondante a illuminé la	0.44	2.1	0.65	4	2.45	False	0.4	{"L'électricité", 'représentation.', 'touche', 'zèbre', 'cirque', 'qualité', 'illuminé', "d'illusion", 'abondante', 'décor', 'présence'}	['résister', 'abondante']	26	En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité et d'illusion à la représentation. L'électricité
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité et d'illusion à la représentation. L'électricité abondante, était utilisée pour	0.44	2.1	0.65	4	2.77	False	0.38	{"L'électricité", 'représentation.', 'touche', 'abondante,', 'zèbre', 'cirque', 'qualité', "d'illusion", 'décor', 'utilisée', 'présence'}	['résister', 'abondante']	26	En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de qualité et d'illusion à la représentation. L'électricité
En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de réalité au théâtre.  Cela a donné une expérience unique aux spectateurs en créant une harmonie entre la nature	0.41	2.1	0.65	4	3.07	False	0.35	{'réalité', 'spectateurs', 'expérience', 'touche', 'zèbre', 'cirque', 'nature', 'harmonie', 'créant', 'unique', 'décor', 'théâtre.', 'présence'}	['kilogramme', 'harmonie']	34	En 1904 la présence d'un zèbre au décor du cirque a ajouté une touche de réalité au théâtre.  Cela a donné une expérience unique aux spectateurs
Un climat chaud est idéal pour admirer la beauté de la	0.45	2.0	0.67	3	3.0	False	0.39	{'est', 'idéal', 'climat', 'admirer', 'beauté'}	['admirer', 'naturel']	11	Un climat chaud est idéal pour
Un climat chaud est idéal pour admirer la beauté de la	0.45	2.0	0.67	3	3.0	False	0.39	{'est', 'idéal', 'climat', 'admirer', 'beauté'}	['admirer', 'naturel']	11	Un climat chaud est idéal pour
Un climat chaud est idéal pour admirer la diversité des espèces animales	0.58	1.6	0.73	2	3.2	False	0.48	{'diversité', 'est', 'idéal', 'climat', 'animales', 'admirer', 'espèces'}	['espèce', 'mélodie']	12	Un climat chaud est idéal pour admirer la
Un climat chaud est idéal pour admirer la nature	0.56	1.6	0.73	2	3.25	False	0.47	{'est', 'idéal', 'climat', 'admirer', 'nature'}	['admirer', 'restaurant']	9	Un climat chaud est idéal pour admirer la
