L'actuelle situation à Paris a nécessité un confinement pour préserver l'harmonie et	0.5	1.7	0.72	2	3.33	False	0.42	{'situation', 'Paris', 'préserver', 'confinement', 'nécessité', "l'harmonie"}	['délicatesse', 'harmonie']	12	L'actuelle situation à Paris a nécessité un confinement
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature environnante. Le climat	0.43	1.9	0.68	3	3.5	False	0.35	{'invite', 'contemplation', 'luxuriante', 'climat', 'beauté', 'admirer', 'noble', 'nature', 'végétation'}	['climat', 'abondante']	22	De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région est idéal pour une résidence de	0.47	1.9	0.68	3	2.7	False	0.42	{'invite', 'contemplation', 'résidence', 'luxuriante', 'idéal', 'tropical', 'nature.', 'climat', 'région', 'est', 'beauté', 'admirer', 'noble', 'végétation'}	['résidence', 'naturel']	32	De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature environnante. Le climat tropical est très apprécié des touristes	0.48	1.8	0.7	3	3.5	False	0.39	{'invite', 'contemplation', 'luxuriante', 'tropical', 'touristes', 'climat', 'apprécié', 'est', 'beauté', 'admirer', 'noble', 'nature', 'végétation'}	['apprécié', 'tropicale']	28	De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature environnante. Le climat tropical
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région est idéal pour une résidence de vacances en France	0.45	2.0	0.67	4	3.08	False	0.39	{'invite', 'contemplation', 'résidence', 'luxuriante', 'idéal', 'tropical', 'France', 'climat', 'noble', 'région', 'est', 'beauté', 'admirer', 'nature.', 'végétation'}	['France', 'accompagné']	35	De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région est idéal pour une résidence de
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région est idéal pour une résidence de vacances en France, accompagnée d'une	0.46	2.0	0.67	4	3.23	False	0.38	{'contemplation', 'idéal', 'tropical', 'France,', 'noble', 'beauté', 'admirer', 'invite', 'résidence', 'luxuriante', 'climat', 'région', 'est', 'accompagnée', 'nature.', 'végétation'}	['France', 'accompagné']	37	De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région est idéal pour une résidence de
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région est idéal pour une résidence de vacances en France, accompagné de vos	0.44	2.1	0.65	4	3.08	False	0.38	{'contemplation', 'idéal', 'tropical', 'France,', 'noble', 'beauté', 'admirer', 'invite', 'résidence', 'luxuriante', 'accompagné', 'climat', 'région', 'est', 'nature.', 'végétation'}	['France', 'accompagné']	38	De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région est idéal pour une résidence de
De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région est idéal pour une résidence de vacances en France, accompagné de la	0.44	2.1	0.65	4	3.08	False	0.38	{'contemplation', 'idéal', 'tropical', 'France,', 'noble', 'beauté', 'admirer', 'invite', 'résidence', 'luxuriante', 'accompagné', 'climat', 'région', 'est', 'nature.', 'végétation'}	['France', 'accompagné']	38	De plus , la végétation luxuriante invite à la contemplation et à admirer la beauté noble de la nature.  Le climat tropical de cette région est idéal pour une résidence de
Son vin préféré est un rouge volcanique aux arômes	0.56	1.6	0.73	3	3.25	False	0.47	{'arômes', 'est', 'préféré', 'vin', 'volcanique'}	['mesure', 'volcan']	9	Son vin préféré est un rouge
Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante.	0.54	1.7	0.72	3	2.6	False	0.48	{'artistique', 'recommandes', 'histoire', 'naturel', 'captivante.', 'esthétique', 'film'}	['naturel', 'week-end']	13	Tu recommandes ce film pour son esthétique artistique
Tu recommandes ce film pour son ambiance artistique abondante en émotions. Le	0.5	1.7	0.72	3	2.5	False	0.46	{'émotions.', 'artistique', 'abondante', 'recommandes', 'ambiance', 'film'}	['abondante', 'vin']	12	Tu recommandes ce film pour son ambiance artistique
Tu recommandes ce film pour son ambiance artistique abondante en émotions. Le	0.5	1.7	0.72	3	2.5	False	0.46	{'émotions.', 'artistique', 'abondante', 'recommandes', 'ambiance', 'film'}	['abondante', 'vin']	12	Tu recommandes ce film pour son ambiance artistique
Tu recommandes ce film pour son ambiance artistique abondante en émotions et en	0.46	2.0	0.67	3	2.5	False	0.42	{'artistique', 'abondante', 'recommandes', 'émotions', 'ambiance', 'film'}	['abondante', 'vin']	13	Tu recommandes ce film pour son ambiance artistique
Tu recommandes ce film pour son ambiance artistique abondante en émotions. Le décor est absolument magnifique,	0.56	1.6	0.73	3	3.71	False	0.44	{'absolument', 'émotions.', 'artistique', 'est', 'abondante', 'recommandes', 'ambiance', 'décor', 'film'}	['décor', 'résister']	16	Tu recommandes ce film pour son ambiance artistique abondante en émotions. Le
Tu recommandes ce film pour son ambiance artistique abondante en émotions et en en comédie. Le village	0.47	1.9	0.68	4	2.43	False	0.44	{'village', 'artistique', 'comédie.', 'abondante', 'recommandes', 'émotions', 'ambiance', 'film'}	['comédie', 'village']	17	Tu recommandes ce film pour son ambiance artistique abondante en émotions et en
Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son	0.42	1.9	0.68	3	2.5	False	0.41	{'esthétique', 'artistique', 'recommandes', 'recommande', 'histoire', 'naturel', 'captivante.', 'film'}	['festival', 'naturel']	19	Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante.
Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son	0.42	1.9	0.68	3	2.5	False	0.41	{'esthétique', 'artistique', 'recommandes', 'recommande', 'histoire', 'naturel', 'captivante.', 'film'}	['festival', 'naturel']	19	Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante.
Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin unique et sa palette de saveurs	0.46	1.8	0.7	3	2.38	False	0.44	{'esthétique', 'unique', 'artistique', 'recommandes', 'recommande', 'histoire', 'naturel', 'saveurs', 'vin', 'captivante.', 'palette', 'film'}	['différente,', 'vin']	26	Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son
Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin	0.45	1.8	0.7	3	2.5	False	0.43	{'esthétique', 'artistique', 'recommandes', 'recommande', 'histoire', 'naturel', 'vin', 'captivante.', 'film'}	['différente,', 'vin']	20	Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son
Tu recommandes ce film pour son ambiance artistique abondante en émotions. Le décor est absolument magnifique, et les performances des acteurs sont	0.5	1.8	0.7	4	3.45	False	0.41	{'décor', 'performances', 'absolument', 'émotions.', 'artistique', 'acteurs', 'est', 'abondante', 'recommandes', 'ambiance', 'film'}	['absolument', 'serveur']	22	Tu recommandes ce film pour son ambiance artistique abondante en émotions. Le décor est absolument magnifique,
Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin et son ambiance	0.43	1.9	0.68	3	2.5	False	0.41	{'esthétique', 'artistique', 'recommandes', 'recommande', 'histoire', 'naturel', 'vin', 'captivante.', 'ambiance', 'film'}	['différente,', 'vin']	23	Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son
Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin satisfait, son ambiance	0.48	1.8	0.7	3	2.5	False	0.44	{'satisfait,', 'esthétique', 'artistique', 'recommandes', 'recommande', 'histoire', 'naturel', 'vin', 'captivante.', 'ambiance', 'film'}	['satisfait', 'chocolat']	23	Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin
Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin et son ambiance harmonieuse. L'électricité	0.48	1.8	0.7	3	2.5	False	0.44	{"L'électricité", 'recommande', 'esthétique', 'artistique', 'recommandes', 'harmonieuse.', 'histoire', 'naturel', 'vin', 'captivante.', 'ambiance', 'film'}	['électricité', 'harmonie']	25	Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin et son ambiance
Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin et son ambiance harmonieuse. L'électricité	0.48	1.8	0.7	3	2.5	False	0.44	{"L'électricité", 'recommande', 'esthétique', 'artistique', 'recommandes', 'harmonieuse.', 'histoire', 'naturel', 'vin', 'captivante.', 'ambiance', 'film'}	['électricité', 'harmonie']	25	Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin et son ambiance
Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin satisfait et son ambiance	0.46	1.8	0.7	3	2.5	False	0.43	{'recommande', 'esthétique', 'artistique', 'recommandes', 'satisfait', 'histoire', 'naturel', 'vin', 'captivante.', 'ambiance', 'film'}	['satisfait', 'chocolat']	24	Tu recommandes ce film pour son esthétique artistique naturel et son histoire captivante. Je recommande ce film pour son vin
Tu as suggéré d'essayer ce cours de biologie tropicale à	0.5	1.5	0.75	2	1.8	False	0.51	{'suggéré', "d'essayer", 'biologie', 'tropicale', 'cours'}	['université', 'tropical']	10	Tu as suggéré d'essayer ce
Tu as suggéré d'essayer ce cours de biologie tropicale à	0.5	1.5	0.75	2	1.8	False	0.51	{'suggéré', "d'essayer", 'biologie', 'tropicale', 'cours'}	['université', 'tropical']	10	Tu as suggéré d'essayer ce
Tu as suggéré d'essayer ce cours de biologie tropicale à	0.5	1.5	0.75	2	1.8	False	0.51	{'suggéré', "d'essayer", 'biologie', 'tropicale', 'cours'}	['université', 'tropical']	10	Tu as suggéré d'essayer ce
Tu as bien suggéré ce restaurant, la température est idéale pour	0.45	1.7	0.72	2	2.67	False	0.43	{'suggéré', 'est', 'température', 'restaurant,', 'idéale'}	['région', 'température']	11	Tu as bien suggéré ce restaurant,
Tu as suggéré d'essayer ce cours de biologie tropicale à la prochaine session, accompagné de	0.47	1.8	0.7	4	2.86	False	0.42	{'suggéré', "d'essayer", 'accompagné', 'biologie', 'cours', 'session,', 'tropicale'}	['accompagné', 'construite']	15	Tu as suggéré d'essayer ce cours de biologie tropicale à
Tu as suggéré d'essayer ce cours de biologie tropicale à Paris ? Cela pourrait être une expérience	0.44	1.6	0.73	3	3.11	False	0.4	{'suggéré', "d'essayer", 'Paris', 'biologie', 'expérience', 'tropicale', 'cours'}	['Paris', 'kilogramme']	17	Tu as suggéré d'essayer ce cours de biologie tropicale à
Tu as suggéré d'essayer ce cours de biologie tropicale à Paris. Cela pourrait être une excellente	0.44	1.6	0.73	3	3.11	False	0.4	{'excellente', 'suggéré', "d'essayer", 'Paris.', 'biologie', 'tropicale', 'cours'}	['Paris', 'kilogramme']	16	Tu as suggéré d'essayer ce cours de biologie tropicale à
Tu as suggéré d'essayer ce cours de biologie tropicale à Paris. J'ai entendu dire que	0.4	1.7	0.72	3	3.0	False	0.38	{'suggéré', "d'essayer", 'Paris.', 'biologie', 'tropicale', 'cours'}	['Paris', 'kilogramme']	15	Tu as suggéré d'essayer ce cours de biologie tropicale à
Tu as suggéré d'essayer ce cours de biologie tropicale à la prochaine session, accompagné de un délicieux tiramisu au	0.47	1.8	0.7	4	2.67	False	0.43	{'accompagné', 'session,', 'délicieux', 'cours', 'suggéré', "d'essayer", 'tiramisu', 'biologie', 'tropicale'}	['tiramisu', 'vin']	19	Tu as suggéré d'essayer ce cours de biologie tropicale à la prochaine session, accompagné de
Tu as suggéré d'essayer ce cours de biologie tropicale à la prochaine session, accompagné de un bon tiramisu en dessert et	0.43	2.0	0.67	4	2.64	False	0.39	{'accompagné', 'session,', 'cours', 'dessert', 'suggéré', "d'essayer", 'tiramisu', 'biologie', 'tropicale'}	['tiramisu', 'vin']	21	Tu as suggéré d'essayer ce cours de biologie tropicale à la prochaine session, accompagné de
Tu as suggéré d'essayer ce cours de biologie tropicale à Paris ? Cela pourrait être une expérience pleine d'illusion et de	0.4	1.9	0.68	3	3.27	False	0.35	{'expérience', 'cours', 'suggéré', "d'essayer", "d'illusion", 'Paris', 'biologie', 'tropicale'}	['électricité', 'illusion']	21	Tu as suggéré d'essayer ce cours de biologie tropicale à Paris ? Cela pourrait être une expérience
Tu as suggéré d'essayer ce cours de biologie tropicale à la prochaine session, accompagné de un délicieux tiramisu au repas. La température sera	0.48	1.8	0.7	4	2.73	False	0.43	{'température', 'accompagné', 'session,', 'délicieux', 'cours', 'suggéré', "d'essayer", 'tiramisu', 'biologie', 'repas.', 'tropicale'}	['repas,', 'température']	23	Tu as suggéré d'essayer ce cours de biologie tropicale à la prochaine session, accompagné de un délicieux tiramisu au
Tu as suggéré d'essayer ce cours de biologie tropicale à Paris ? Cela pourrait être une expérience pleine d'illusion et de d'aventure. La lumière des lampes suspendues crée une ambiance unique	0.43	1.9	0.68	3	3.47	False	0.36	{'expérience', 'cours', 'unique', 'suggéré', "d'essayer", "d'illusion", 'lampes', 'suspendues', 'Paris', 'biologie', 'tropicale', "d'aventure.", 'ambiance'}	['unique', 'restaurant']	31	Tu as suggéré d'essayer ce cours de biologie tropicale à Paris ? Cela pourrait être une expérience pleine d'illusion et de d'aventure. La lumière des
Tu as suggéré d'essayer ce cours de biologie tropicale à la prochaine session, accompagné de un bon tiramisu en dessert et servi par le serveur sympathique du restaurant italien de l'île	0.42	2.1	0.65	4	3.25	False	0.35	{'servi', 'serveur', 'accompagné', 'session,', 'cours', 'restaurant', 'dessert', 'suggéré', "d'essayer", 'tiramisu', 'italien', 'biologie', 'tropicale'}	['composée', 'île']	31	Tu as suggéré d'essayer ce cours de biologie tropicale à la prochaine session, accompagné de un bon tiramisu en dessert et servi par le serveur sympathique du
En 1720 En 1720, la situation en France était compliquée en	0.33	1.5	0.75	2	2.75	False	0.36	{'situation', 'France', 'compliquée'}	['France', 'restaurant,']	11	En 1720 En 1720, la situation en France
Une qualité essentielle est la beauté de Paris, un symbole	0.6	1.3	0.78	2	2.25	False	0.56	{'qualité', 'symbole', 'Paris,', 'est', 'beauté', 'essentielle'}	['Paris', 'symbole']	10	Une qualité essentielle est
Une qualité essentielle est la beauté de Paris, symbole de	0.6	1.6	0.73	2	2.33	False	0.53	{'qualité', 'symbole', 'Paris,', 'est', 'beauté', 'essentielle'}	['Paris', 'symbole']	10	Une qualité essentielle est
Une qualité essentielle est la Tour Eiffel, symbole de	0.56	1.5	0.75	2	2.75	False	0.49	{'qualité', 'symbole', 'est', 'essentielle', 'Eiffel,'}	['Paris', 'symbole']	9	Une qualité essentielle est
Une qualité essentielle est la beauté de Paris, un symbole de romantisme et d'élégance	0.57	1.5	0.75	2	2.2	False	0.53	{'romantisme', 'symbole', 'Paris,', 'qualité', "d'élégance", 'est', 'essentielle', 'beauté'}	['Paris', 'France']	14	Une qualité essentielle est la beauté de Paris, un symbole
Une qualité essentielle est la beauté de Paris, un symbole de romantisme en	0.54	1.6	0.73	2	2.2	False	0.51	{'romantisme', 'symbole', 'Paris,', 'qualité', 'est', 'essentielle', 'beauté'}	['Paris', 'France']	13	Une qualité essentielle est la beauté de Paris, un symbole
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du	0.5	1.7	0.72	3	2.17	False	0.48	{"l'élégance", 'symbole', 'qualité', 'Paris,', 'est', 'essentielle', 'beauté'}	['Paris', 'France']	14	Une qualité essentielle est la beauté de Paris, un symbole
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du	0.5	1.7	0.72	3	2.17	False	0.48	{"l'élégance", 'symbole', 'qualité', 'Paris,', 'est', 'essentielle', 'beauté'}	['Paris', 'France']	14	Une qualité essentielle est la beauté de Paris, un symbole
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre	0.56	1.5	0.75	3	2.14	False	0.52	{'théâtre', 'symbole', 'Paris,', 'qualité', 'unique.', 'raffinement', "l'élégance", 'est', 'essentielle', 'beauté'}	['unique', 'théâtre']	18	Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du
Une qualité essentielle est la beauté de Paris, un symbole de romantisme en un week-end	0.53	1.6	0.73	3	2.2	False	0.5	{'romantisme', 'week-end', 'symbole', 'Paris,', 'qualité', 'est', 'essentielle', 'beauté'}	['week-end', 'unique']	15	Une qualité essentielle est la beauté de Paris, un symbole de romantisme en
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du charme unique, qui se reflète	0.53	1.7	0.72	3	2.25	False	0.49	{'charme', 'symbole', 'Paris,', 'qualité', 'unique,', "l'élégance", 'est', 'essentielle', 'beauté', 'reflète'}	['unique', 'théâtre']	19	Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du
Une qualité essentielle est la beauté de Paris, un symbole de romantisme en Europe. Chaque week-end, des	0.53	1.6	0.73	2	2.86	False	0.47	{'romantisme', 'symbole', 'Paris,', 'qualité', 'Europe.', 'est', 'essentielle', 'beauté', 'week-end,'}	['week-end', 'unique']	17	Une qualité essentielle est la beauté de Paris, un symbole de romantisme en
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne est	0.55	1.5	0.75	3	2.14	False	0.52	{'théâtre', 'symbole', 'Paris,', 'qualité', 'unique.', 'Sorbonne', 'raffinement', 'est', "l'élégance", 'essentielle', 'beauté', "l'université"}	['restaurant', 'université']	22	Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne offre	0.55	1.5	0.75	3	2.5	False	0.51	{'théâtre', 'symbole', 'Paris,', 'qualité', 'unique.', 'Sorbonne', 'raffinement', "l'élégance", 'est', 'essentielle', 'beauté', "l'université"}	['restaurant', 'université']	22	Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne offre	0.55	1.5	0.75	3	2.5	False	0.51	{'théâtre', 'symbole', 'Paris,', 'qualité', 'unique.', 'Sorbonne', 'raffinement', "l'élégance", 'est', 'essentielle', 'beauté', "l'université"}	['restaurant', 'université']	22	Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre
Une qualité essentielle est la beauté de Paris, un symbole de romantisme en Europe. Chaque week-end, des milliers de touristes visitent ses monuments	0.48	1.9	0.68	4	3.9	False	0.37	{'romantisme', 'symbole', 'Paris,', 'touristes', 'qualité', 'Europe.', 'est', 'monuments', 'essentielle', 'beauté', 'week-end,'}	['tropical', 'monuments']	23	Une qualité essentielle est la beauté de Paris, un symbole de romantisme en Europe. Chaque week-end, des
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne offre des représentations théâtrales	0.52	1.6	0.73	3	3.3	False	0.44	{'représentations', 'théâtre', 'symbole', 'Paris,', 'qualité', 'unique.', 'Sorbonne', 'raffinement', "l'élégance", 'est', 'essentielle', 'beauté', "l'université"}	['unique', 'hôpital']	25	Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne offre
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne offre une ambiance unique et chaleureuse pour	0.5	1.7	0.72	4	3.45	False	0.42	{'théâtre', 'symbole', 'Paris,', 'qualité', 'unique.', 'Sorbonne', 'raffinement', 'unique', "l'université", "l'élégance", 'est', 'essentielle', 'beauté', 'ambiance'}	['unique', 'hôpital']	28	Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne offre
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne offre des spectacles uniques mettant en avant	0.46	1.8	0.7	4	3.62	False	0.38	{'théâtre', 'symbole', 'Paris,', 'qualité', 'unique.', 'Sorbonne', 'raffinement', "l'élégance", 'est', 'essentielle', 'beauté', 'uniques', "l'université"}	['unique', 'hôpital']	28	Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne offre
Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne offre des spectacles uniques mettant en valeur	0.46	1.8	0.7	4	3.69	False	0.38	{'théâtre', 'symbole', 'Paris,', 'qualité', 'unique.', 'Sorbonne', 'raffinement', "l'élégance", 'est', 'essentielle', 'beauté', 'uniques', "l'université"}	['unique', 'hôpital']	28	Une qualité essentielle est la beauté de Paris, un symbole de l'élégance et du raffinement unique. Le théâtre de l'université Sorbonne offre
Les architectures de Paris sont abondante et variée, offrant	0.44	1.8	0.7	2	3.6	False	0.37	{'variée,', 'architectures', 'Paris', 'abondante'}	['salade', 'abondante']	9	Les architectures de Paris sont
En 1720 le steak fût absolument délicieux en France, surtout	0.44	1.4	0.77	2	3.2	False	0.41	{'absolument', 'délicieux', 'France,', 'steak'}	['France', 'mètres']	10	En 1720 le steak fût absolument
En 1720 le steak fût introduit en France et c'est grâce à un génie culinaire	0.36	2.0	0.67	4	2.67	False	0.35	{'grâce', 'introduit', 'culinaire', 'France', 'steak'}	['génie', 'orange']	15	En 1720 le steak fût introduit en France et
En 1720 le steak fût absolument délicieux en France, surtout en raison de sa qualité	0.43	1.7	0.72	3	2.86	False	0.4	{'absolument', 'raison', 'qualité', 'délicieux', 'France,', 'steak'}	['délicieux', 'qualité']	15	En 1720 le steak fût absolument délicieux en France, surtout
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité	0.42	1.7	0.72	3	3.14	False	0.38	{'absolument', 'qualité', 'délicieux', 'France,', 'steak'}	['délicieux', 'qualité']	13	En 1720 le steak fût absolument délicieux en France, surtout
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité	0.42	1.7	0.72	3	3.14	False	0.38	{'absolument', 'qualité', 'délicieux', 'France,', 'steak'}	['délicieux', 'qualité']	13	En 1720 le steak fût absolument délicieux en France, surtout
En 1720 le steak fût introduit en France et c'est grâce à un génie culinaire que la tradition du repas luxuriante	0.4	2.0	0.67	4	2.58	False	0.38	{'tradition', 'grâce', 'luxuriante', 'introduit', 'France', 'repas', 'culinaire', 'steak'}	['repas,', 'luxuriante']	21	En 1720 le steak fût introduit en France et c'est grâce à un génie culinaire
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite.	0.46	1.6	0.73	3	3.14	False	0.41	{'absolument', 'construite.', 'qualité', 'délicieux', 'France,', 'steak'}	['éducation', 'construite']	14	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite.	0.46	1.6	0.73	3	3.14	False	0.41	{'absolument', 'construite.', 'qualité', 'délicieux', 'France,', 'steak'}	['éducation', 'construite']	14	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite.	0.46	1.6	0.73	3	3.14	False	0.41	{'absolument', 'construite.', 'qualité', 'délicieux', 'France,', 'steak'}	['éducation', 'construite']	14	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite et sa préparation	0.44	1.8	0.7	3	3.0	False	0.39	{'absolument', 'construite', 'qualité', 'délicieux', 'France,', 'steak', 'préparation'}	['éducation', 'construite']	17	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite. L'université offre un programme de nutrition	0.47	1.6	0.73	3	3.1	False	0.42	{'construite.', "L'université", 'qualité', 'délicieux', 'France,', 'absolument', 'programme', 'nutrition', 'steak'}	['université', 'serveur']	20	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite.
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite et sa préparation artistique.	0.47	1.7	0.72	3	3.0	False	0.42	{'construite', 'qualité', 'délicieux', 'France,', 'préparation', 'absolument', 'artistique.', 'steak'}	['dessert', 'artistique']	18	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite et sa préparation
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite et sa préparation artistique.	0.47	1.7	0.72	3	3.0	False	0.42	{'construite', 'qualité', 'délicieux', 'France,', 'préparation', 'absolument', 'artistique.', 'steak'}	['dessert', 'artistique']	18	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite et sa préparation
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite et sa préparation artistique. Le chef avait utilisé des	0.45	1.7	0.72	3	3.09	False	0.41	{'construite', 'qualité', 'délicieux', 'France,', 'préparation', 'utilisé', 'artistique.', 'absolument', 'chef', 'steak'}	['dessert', 'artistique']	23	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite et sa préparation
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite. L'université offre un programme de nutrition panoramique pour étudier les différentes	0.46	1.8	0.7	4	3.42	False	0.38	{'construite.', "L'université", 'différentes', 'qualité', 'délicieux', 'France,', 'absolument', 'panoramique', 'programme', 'nutrition', 'steak'}	['panoramique', 'bizarre']	25	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite. L'université offre un programme de nutrition
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite. L'université offre un programme de nutrition panoramique très intéressant pour mieux	0.46	1.8	0.7	3	3.33	False	0.38	{'construite.', "L'université", 'qualité', 'intéressant', 'délicieux', 'France,', 'absolument', 'panoramique', 'programme', 'nutrition', 'steak'}	['panoramique', 'bizarre']	25	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite. L'université offre un programme de nutrition
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite. L'université offre un programme de nutrition panoramique pour comprendre l'impact	0.48	1.7	0.72	3	3.73	False	0.38	{'construite.', "L'université", 'qualité', 'délicieux', 'France,', 'absolument', 'panoramique', "l'impact", 'programme', 'nutrition', 'steak'}	['panoramique', 'bizarre']	24	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite. L'université offre un programme de nutrition
En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite. L'université offre un programme de nutrition panoramique qui permet d'étudier	0.43	1.8	0.7	4	3.77	False	0.35	{'construite.', "L'université", 'qualité', 'délicieux', 'France,', 'absolument', 'panoramique', 'programme', 'nutrition', 'steak'}	['panoramique', 'bizarre']	24	En 1720 le steak fût absolument délicieux en France, surtout pour sa qualité construite. L'université offre un programme de nutrition
La banane est un fruit délicieux et une espèce très appréciée	0.55	1.7	0.72	3	2.6	False	0.48	{'fruit', 'est', 'espèce', 'banane', 'appréciée', 'délicieux'}	['espèce', 'artistique']	11	La banane est un fruit délicieux et
La banane est un fruit délicieux et je recommande sa consommation pour sa	0.46	2.0	0.67	3	2.33	False	0.42	{'fruit', 'est', 'recommande', 'banane', 'délicieux', 'consommation'}	['qualité', 'recommande']	13	La banane est un fruit délicieux et
La banane est un fruit délicieux et je recommande sa consommation pour sa	0.46	2.0	0.67	3	2.33	False	0.42	{'fruit', 'est', 'recommande', 'banane', 'délicieux', 'consommation'}	['qualité', 'recommande']	13	La banane est un fruit délicieux et
